Date,Price,Open,High,Low,Vol.,Change %
14-Sep-18,6483.70 ,6482.90 ,6579.40 ,6412.10 ,3.20M,0.01%
13-Sep-18,6482.90 ,6338.00 ,6867.30 ,6337.80 ,3.53M,2.29%
12-Sep-18,6338.00 ,6293.90 ,6353.50 ,6204.50 ,3.04M,0.70%
11-Sep-18,6293.90 ,6320.70 ,6391.80 ,6189.60 ,3.30M,-0.43%
10-Sep-18,6321.00 ,6238.50 ,6358.50 ,6237.30 ,3.11M,1.32%
9-Sep-18,6238.50 ,6184.30 ,6432.60 ,6148.80 ,2.84M,0.88%
8-Sep-18,6184.30 ,6390.90 ,6484.30 ,6132.30 ,3.46M,-3.23%
7-Sep-18,6390.90 ,6514.10 ,6540.60 ,6316.20 ,3.30M,-1.89%
6-Sep-18,6514.00 ,6706.80 ,6732.90 ,6337.80 ,4.02M,-2.87%
5-Sep-18,6706.80 ,7377.50 ,7407.50 ,6691.80 ,4.55M,-9.09%
4-Sep-18,7377.50 ,7264.20 ,7409.90 ,7234.50 ,3.92M,1.56%
3-Sep-18,7264.20 ,7289.80 ,7330.70 ,7182.80 ,3.87M,-0.41%
2-Sep-18,7293.90 ,7189.60 ,7334.80 ,7117.30 ,3.90M,1.45%
1-Sep-18,7189.60 ,7032.40 ,7264.30 ,7020.40 ,3.52M,2.21%
31-Aug-18,7033.80 ,6993.70 ,7080.20 ,6698.00 ,4.21M,0.57%
30-Aug-18,6993.70 ,7029.20 ,7050.20 ,6798.00 ,3.74M,-0.50%
29-Aug-18,7029.10 ,7074.60 ,7121.40 ,6926.70 ,4.11M,-0.64%
28-Aug-18,7074.60 ,6897.60 ,7129.70 ,6861.20 ,3.79M,2.57%
27-Aug-18,6897.60 ,6712.70 ,6902.90 ,6650.40 ,3.26M,2.75%
26-Aug-18,6712.70 ,6734.90 ,6892.70 ,6573.10 ,3.37M,-0.33%
25-Aug-18,6734.80 ,6680.60 ,6783.40 ,6655.30 ,3.59M,0.81%
24-Aug-18,6680.40 ,6521.20 ,6721.20 ,6472.80 ,3.70M,2.44%
23-Aug-18,6521.20 ,6359.90 ,6550.20 ,6359.20 ,2.76M,2.54%
22-Aug-18,6359.60 ,6482.20 ,6840.80 ,6304.80 ,3.63M,-1.89%
21-Aug-18,6482.20 ,6268.10 ,6484.10 ,6257.40 ,1.46M,3.41%
20-Aug-18,6268.10 ,6474.20 ,6516.40 ,6255.90 ,3.10M,-3.29%
19-Aug-18,6481.50 ,6379.10 ,6534.80 ,6316.00 ,2.71M,1.61%
18-Aug-18,6379.10 ,6581.80 ,6626.40 ,6295.50 ,3.15M,-3.08%
17-Aug-18,6581.70 ,6306.70 ,6581.70 ,6291.80 ,3.20M,4.36%
16-Aug-18,6306.70 ,6256.90 ,6470.90 ,6249.80 ,3.50M,0.80%
15-Aug-18,6256.90 ,6190.20 ,6592.80 ,6177.90 ,3.74M,1.08%
